电商商品ID,商品名称,电商类目,WMS商品行,品牌数,品牌列表,SKU数,缺成本价,缺售价,已称重,有包装尺寸,图片数,SKU上限,待办
5,SC气缸,气动元件 > 气缸,11,11,CHLED/CHTD/HJNN/三川气动（SACU）/东特/亚德客(AirTac)/亚邦（YABANG）/卓良(zholo)/威特/宝诚（CNB&C）/盛达(SDPC),292,1,1,0,0,0,必须拆分,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
33,SDA薄型气缸,气动元件 > 气缸,14,13,CHTD/JG/JLC/JYC/SNRCE/三川气动（SACU）/三正气动/东特/亚德客(AirTac)/卓良(zholo)/宝诚（CNB&C）/盛达(SDPC)/菲特气动,292,0,0,0,0,0,必须拆分,待称重 | 待量包装 | 待拍图 | 待写标题
47,TN双杆气缸,气动元件 > 气缸,1,1,东特,105,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
55,液压电磁阀,液压元件 > 液压阀,6,6,XD/YOULIDA/万尔福(WANERF)/三阳/威特/联心(LIANXING),105,70,105,0,0,0,接近上限,待称重 | 待量包装 | 补成本价x70 | 补售价x105 | 待拍图 | 待写标题
34,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,1,1,东特,84,4,4,0,0,0,接近上限,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
45,MOB油缸,液压元件 > 液压油缸,1,0,,74,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
13,PLF 内螺纹二通,气动元件 > 气动接头,1,1,东特,64,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
14,DPLL L型加长螺纹二通,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,64,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
23,DPX Y型三通带螺纹,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,64,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
12,PL L型螺纹二通,气动元件 > 气动接头,1,1,东特,62,0,0,0,0,0,接近上限,待称重 | 待量包装 | 待拍图 | 待写标题
30,SL（JSC） L型节流阀,气动元件 > 气动接头,3,3,东特/山克斯（SUNCOS）/气动之星（CYKL）,60,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
46,MA系列不锈钢迷你气缸（亚德客型）,气动元件 > 气缸,1,1,东特,60,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
27,DPKD螺纹五通,气动元件 > 气动接头,1,1,东特,53,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
52,气动电磁阀,气动元件 > 气动电磁阀,12,12,JYC/KSD/MCF/Mindman/ZLPC/亚德客(AirTac)/亨博电磁/卓良(zholo)/唯尔美德（VERMD）/天盛(TSPC)/威特/盛达(SDPC),50,18,16,0,0,0,,待称重 | 待量包装 | 补成本价x18 | 补售价x16 | 待拍图 | 待写标题
9,PC螺纹直通,气动元件 > 气动接头,4,4,Xing/东特/亿日/气动之星（CYKL）,47,0,3,0,0,0,,待称重 | 待量包装 | 补售价x3 | 待拍图 | 待写标题
41,电磁水阀,流体管路 > 电磁水阀,7,7,YPCN/卓良(zholo)/恒荣（地球）/永灵/海达（HNDA）/盛达(SDPC)/神州,37,34,34,0,0,0,,待称重 | 待量包装 | 补成本价x34 | 补售价x34 | 待拍图 | 待写标题
10,POC圆螺纹直通,气动元件 > 气动接头,1,1,东特,35,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
11,PCF内螺纹直通,气动元件 > 气动接头,3,3,三正气动/东特/山克斯（SUNCOS）,35,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
144,齿轮泵,液压元件 > 液压泵,1,0,,33,33,33,0,0,0,,待称重 | 待量包装 | 补成本价x33 | 补售价x33 | 待拍图 | 待写标题
62,调压过滤器,气动元件 > 气源处理器,6,5,亚德客(AirTac)/宝丰（BAOF）/山耐斯/海达（HNDA）/盛达(SDPC),31,28,27,0,0,0,,待称重 | 待量包装 | 补成本价x28 | 补售价x27 | 待拍图 | 待写标题
120,宝塔直通,气动元件 > 气动接头,1,0,,23,20,22,0,0,0,,待称重 | 待量包装 | 补成本价x20 | 补售价x22 | 待拍图 | 待写标题
138,油泵,液压元件 > 液压泵,1,0,,21,21,21,0,0,0,,待称重 | 待量包装 | 补成本价x21 | 补售价x21 | 待拍图 | 待写标题
20,PEG T型三通,气动元件 > 气动接头,3,3,东特/山克斯（SUNCOS）/气动之星（CYKL）,20,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
99,气动快拧直通,气动元件 > 气动接头,1,0,,20,17,19,0,0,0,,待称重 | 待量包装 | 补成本价x17 | 补售价x19 | 待拍图 | 待写标题
1,PU管,气动元件 > 气管,1,1,威特,18,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
3,气动快拧弯头,气动元件 > 气动接头,1,0,,18,13,14,0,0,0,,待称重 | 待量包装 | 补成本价x13 | 补售价x14 | 待拍图 | 待写标题
51,补芯,流体管路 > 管件接头,1,0,,17,16,17,0,0,0,,待称重 | 待量包装 | 补成本价x16 | 补售价x17 | 待拍图 | 待写标题
7,PE管,气动元件 > 气管,2,2,力耐尔/环球牌,15,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
78,DPL L型螺纹二通,气动元件 > 气动接头,4,4,MYA00/亚一气动（YYC）/山克斯（SUNCOS）/气动之星（CYKL）,15,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
15,PV L型二通,气动元件 > 气动接头,3,3,东特/亚一气动（YYC）/山克斯（SUNCOS）,14,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
73,SC气缸（其他）,气动元件 > 气缸,1,0,,13,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
22,DPW Y型变径,气动元件 > 气动接头,2,2,东特/山克斯（SUNCOS）,12,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
42,气动手动阀,气动元件 > 气动控制阀,4,4,MODEL/卓良(zholo)/山耐斯/盛达(SDPC),12,12,12,0,0,0,,待称重 | 待量包装 | 补成本价x12 | 补售价x12 | 待拍图 | 待写标题
61,调压阀,气动元件 > 气源处理器,6,6,MODEL/亚德客(AirTac)/宝丰（BAOF）/海达（HNDA）/百灵（BLCH）/盛达(SDPC),12,12,9,0,0,0,,待称重 | 待量包装 | 补成本价x12 | 补售价x9 | 待拍图 | 待写标题
17,PG 变径直通,气动元件 > 气动接头,1,1,东特,11,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
