SKU_ID,电商商品,电商类目,品牌,规格名称,单位,成本价,销售价,净重kg_待填,毛重kg_待填,包装长cm_待填,包装宽cm_待填,包装高cm_待填,价格缺口
1961355004367384577,ACQ薄型气缸,气动元件 > 气缸,威特,20*30 SB,个,,,,,,,,缺成本价+缺售价
2084935577135812611,MALJ铝合金迷你气缸（亚德客型）,气动元件 > 气缸,,20*75-40,,,,,,,,,缺成本价+缺售价
2084935855943782401,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16*50-S-CA,个,,,,,,,,缺成本价+缺售价
1947212835050262531,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-100,个,12.48,45.50,,,,,,
1947212888024322050,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-125,个,12.96,47.25,,,,,,
1947212888028516353,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-150,个,13.44,49.00,,,,,,
1947212943896645633,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-175,个,13.92,50.75,,,,,,
1947212943896645634,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-200,个,15.36,56.00,,,,,,
1947213735512805379,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-225,个,16.32,59.50,,,,,,
1947192555464593410,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-25,个,10.56,38.50,,,,,,
1947213735508611074,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-250,个,17.28,63.00,,,,,,
1947213735512805378,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-275,个,17.76,64.75,,,,,,
1947213735508611075,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-300,个,18.72,68.25,,,,,,
1947213735508611076,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-350,个,20.16,73.50,,,,,,
1947213735508611077,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-400,个,21.60,78.75,,,,,,
1947213735508611078,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-450,个,22.56,82.25,,,,,,
1947212835050262529,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-50,个,11.04,40.25,,,,,,
1947213735512805377,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-500,个,23.52,85.75,,,,,,
1947212835050262530,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL16-75,个,11.52,42.00,,,,,,
2084935855943782403,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20*65,个,,,,,,,,缺成本价+缺售价
1947214128468758530,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-100,个,14.88,54.25,,,,,,
1947214128468758531,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-125,个,15.36,56.00,,,,,,
1947214128468758532,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-150,个,16.32,59.50,,,,,,
1947214128468758533,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-175,个,17.28,63.00,,,,,,
1947214128468758534,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-200,个,17.76,64.75,,,,,,
1947214128468758535,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-225,个,18.72,68.25,,,,,,
1947214128464564225,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-25,个,12.00,43.75,,,,,,
1947214128468758536,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-250,个,19.20,70.00,,,,,,
1947214128468758537,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-275,个,20.16,73.50,,,,,,
1947214128468758538,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-300,个,21.12,77.00,,,,,,
1947214128468758539,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-350,个,22.56,82.25,,,,,,
1947214128468758540,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-400,个,24.00,87.50,,,,,,
1947214128468758541,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-450,个,25.44,92.75,,,,,,
1947214128464564226,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-50,个,12.96,47.25,,,,,,
1947214128472952834,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-500,个,26.88,98.00,,,,,,
1947214128464564227,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL20-75,个,13.92,50.75,,,,,,
2084935855943782402,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25*35-S,个,,,,,,,,缺成本价+缺售价
2084935855943782404,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25*45,个,,,,,,,,缺成本价+缺售价
1947215161852989441,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-100,个,17.28,63.00,,,,,,
1947215161852989442,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-125,个,18.24,66.50,,,,,,
1947215161852989443,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-150,个,19.20,70.00,,,,,,
1947215161852989444,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-175,个,20.16,73.50,,,,,,
1947215161852989445,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-200,个,21.12,77.00,,,,,,
1947215161852989446,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-225,个,22.08,80.50,,,,,,
1947215161848795138,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-25,个,14.40,52.50,,,,,,
1947215161852989447,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-250,个,22.56,82.25,,,,,,
1947215161852989448,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-275,个,23.52,85.75,,,,,,
1947215161852989449,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-300,个,24.48,89.25,,,,,,
1947215161852989450,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-350,个,26.40,96.25,,,,,,
1947215161857183745,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-400,个,28.32,103.25,,,,,,
1947215161857183746,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-450,个,30.72,112.00,,,,,,
1947215161848795139,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-50,个,15.36,56.00,,,,,,
1947215161857183747,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-500,个,32.64,119.00,,,,,,
1947215161848795140,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL25-75,个,16.32,59.50,,,,,,
1950744003066470405,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL32-100,个,20.64,36.12,,,,,,
1950744003066470406,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL32-125,个,21.60,37.80,,,,,,
1950744003066470407,MAL铝合金迷你气缸（亚德客型）,气动元件 > 气缸,东特,MAL32-150,个,22.56,39.48,,,,,,
