正稿序号,照片,页内行,落地分类,落地商品,落地品牌,落地SKU,数量,单位,动作
9,IMG_3087,9,气源处理类,自动排水器,(无品牌),XFC400,43,个,新建商品+SKU
30,IMG_3088,11,手指气缸,MHY2 气动手指,(无品牌),MHY2-20D,1,个,新建商品+SKU
31,IMG_3088,12,手指气缸,HFZ 气动手指,(无品牌),HFZ-16D,1,个,新建商品+SKU
34,IMG_3088,15,油压表,压力表,(无品牌),2分牙50面板 10kg/1MPa,109,个,新建商品+SKU
35,IMG_3088,16,电磁水阀,电磁水阀,盛达(SDPC),Q22XD-2L 220V 全铜,118,个,已有商品补SKU
36,IMG_3088,17,电磁水阀,电磁水阀,盛达(SDPC),Q23XD-2L 220V 全铜,1,个,已有商品补SKU
37,IMG_3088,18,,,,FDF-8 220V,8,个,跳过：归到已有『制冷电磁阀/制冷电磁阀/百达』的 FDF-8 220V，已存在，不建
38,IMG_3088,19,,,,FB2E-V 220V 3分牙,26,个,跳过：归到已有『气动电磁阀/气动电磁阀/KSD』的 FB2E-V 3分，用库里现有 SKU
39,IMG_3088,20,,,,FB2E-V 220V 2分牙,24,个,跳过：归到已有『气动电磁阀/气动电磁阀/KSD』的 FB2E-V 2分，用库里现有 SKU
40,IMG_3089,1,,,,HR30,23,个,跳过：归到已有『调压阀/调压阀/MODEL』的 HR 30，已存在，不建
42,IMG_3089,3,电磁水阀,电磁水阀,神州,US-25 220V,29,个,已有商品补SKU
43,IMG_3089,4,电磁水阀,电磁水阀,神州,US-20 220V,13,个,已有商品补SKU
44,IMG_3089,5,电磁水阀,电磁水阀,神州,US-20K 220V 常开,9,个,已有商品补SKU
45,IMG_3089,6,气动电磁阀,DQK 电磁阀,(无品牌),DQK1442,1,个,新建商品+SKU
46,IMG_3089,7,气动电磁阀,DQK 电磁阀,(无品牌),DQK2422,7,个,新建商品+SKU
47,IMG_3089,8,气动电磁阀,DQK 电磁阀,(无品牌),DQK1422 220V,10,个,新建商品+SKU
48,IMG_3089,9,调压过滤器（二联件）,三联体,JYC,SFC2000-1/4,9,个,新建商品+SKU
49,IMG_3089,10,调压过滤器（二联件）,调压过滤器,百灵（BLCH）,2010-02,28,个,新建商品+SKU
50,IMG_3089,11,调压过滤器（二联件）,调压过滤器,百灵（BLCH）,AFR2000-02,295,个,新建商品+SKU
51,IMG_3089,12,气动电磁阀,DQK 电磁阀,(无品牌),DQK1322 24V,1,个,新建商品+SKU
62,IMG_3090,10,抽油泵,抽油泵,(无品牌),3-PHASE 1/4HP,1,台,新建商品+SKU
70,IMG_3091,1,手动阀,气动手动阀,卓良(zholo),MSV-86522R,1,个,已有商品补SKU
71,IMG_3091,2,手动阀,气动手动阀,盛达(SDPC),SD250612,13,个,已有商品补SKU
72,IMG_3091,3,手动阀,气动手动阀,盛达(SDPC),S230805A,9,个,已有商品补SKU
73,IMG_3091,4,手动阀,气动手动阀,盛达(SDPC),JM-02,4,个,已有商品补SKU
74,IMG_3091,5,手动阀,气动手动阀,盛达(SDPC),MOV-02,30,个,已有商品补SKU
75,IMG_3091,6,手动阀,气动手动阀,盛达(SDPC),JM-01,12,个,已有商品补SKU
76,IMG_3091,7,手动阀,气动手动阀,盛达(SDPC),S230805,16,个,已有商品补SKU
77,IMG_3091,8,手动阀,气动手动阀,(无品牌),S0230605A,19,个,新建商品+SKU
78,IMG_3091,9,手动阀,气动手动阀,照庆,Q25 RS-L6,2,个,新建商品+SKU
79,IMG_3091,10,手动阀,气动手动阀,(无品牌),3R210-08,34,个,新建商品+SKU
80,IMG_3091,11,手动阀,气动手动阀,(无品牌),4R210-08,22,个,新建商品+SKU
81,IMG_3091,12,调压阀,QTYH 调压阀,(无品牌),QTYH-08 0.5-30MPa,1,个,新建商品+SKU
82,IMG_3091,13,气源处理类,AF 过滤器,(无品牌),AF2000,30,个,新建商品+SKU
83,IMG_3091,14,气源处理类,AL 油雾器,(无品牌),AL2000,3,个,新建商品+SKU
84,IMG_3091,15,润滑器,斜阀式油杯,(无品牌),B型 50cm² M14X1.5,2,个,新建商品+SKU
85,IMG_3091,16,润滑器,斜阀式油杯,(无品牌),B型 25cm² M14X1.5,20,个,新建商品+SKU
86,IMG_3091,17,配件,缓冲器,(无品牌),AC3660-2,2,个,新建商品+SKU
87,IMG_3091,18,调压阀,HR 调压阀,(无品牌),HR-60,1,个,新建商品+SKU
88,IMG_3091,19,调压阀,HR 调压阀,(无品牌),HR-15,1,个,新建商品+SKU
89,IMG_3092,1,气源处理类,AC 三联件,(无品牌),AC4225,5,个,新建商品+SKU
90,IMG_3092,2,气源处理类,AC 三联件,(无品牌),AC2050-2,3,个,新建商品+SKU
91,IMG_3092,3,气源处理类,AC 三联件,(无品牌),AC2525-02,3,个,新建商品+SKU
92,IMG_3092,4,气源处理类,AC 三联件,(无品牌),AC2540-2,2,个,新建商品+SKU
93,IMG_3092,5,配件,压力开关,(无品牌),110,6,个,新建商品+SKU
94,IMG_3092,6,气源处理类,调压过滤器,(无品牌),NAR2000,39,个,已有商品补SKU
95,IMG_3092,7,气动电磁阀,4A 气控阀,(无品牌),4A320-10,15,个,新建商品+SKU
96,IMG_3092,8,气动电磁阀,4A 气控阀,(无品牌),4A230C-08,45,个,新建商品+SKU
97,IMG_3092,9,气动电磁阀,4A 气控阀,(无品牌),4A210-08,24,个,新建商品+SKU
98,IMG_3092,10,气动电磁阀,4A 气控阀,(无品牌),4A110-06,45,个,新建商品+SKU
99,IMG_3092,11,气动电磁阀,4A 气控阀,(无品牌),4A410-15,4,个,新建商品+SKU
100,IMG_3092,12,气动电磁阀,4A 气控阀,(无品牌),4A220-08,12,个,新建商品+SKU
101,IMG_3092,13,手动阀,气动手动阀,(无品牌),XQ250622,1,个,新建商品+SKU
102,IMG_3092,14,手动阀,气动手动阀,(无品牌),XQ230421,35,个,新建商品+SKU
103,IMG_3092,15,气动电磁阀,气动电磁阀,ZLPC,Q22HD-15,9,个,已有商品补SKU
104,IMG_3092,16,,,,Q22HD-40,2,个,跳过：归到已有『气动电磁阀/气动电磁阀/ZLPC』的 Q22HD-40，已存在，不建
105,IMG_3092,17,单向节流阀,单向节流阀,(无品牌),AXC200-08,50,个,新建商品+SKU
106,IMG_3092,18,配件,浮动接头,(无品牌),M14X1.5,31,个,新建商品+SKU
107,IMG_3092,19,配件,浮动接头,(无品牌),M20X1.5,20,个,新建商品+SKU
108,IMG_3092,20,配件,浮动接头,(无品牌),M16X1.5,21,个,新建商品+SKU
109,IMG_3092,21,配件,浮动接头,(无品牌),M10X1.25,41,个,新建商品+SKU
110,IMG_3093,1,配件,浮动接头,(无品牌),M8X1.25,28,个,新建商品+SKU
111,IMG_3093,2,配件,浮动接头,(无品牌),M12X1.5,76,个,新建商品+SKU
112,IMG_3093,3,配件,浮动接头,(无品牌),M6X1,40,个,新建商品+SKU
113,IMG_3093,4,配件,浮动接头,(无品牌),M5X0.8,24,个,新建商品+SKU
114,IMG_3093,5,配件,JA 浮动接头,(无品牌),JA10-4-070,21,个,新建商品+SKU
115,IMG_3093,6,配件,浮动接头,(无品牌),M22X1.5,20,个,新建商品+SKU
